Plant Name,Family,Book,Page start,Page end,1. Flowering 🌼,2. Fruiting 🍊,2A. Dormancy💤,3. Deciduous 🍂,4. Bulbous root 🥔,4A. Rhizomatous 🌾,5. Water Plant 🌊?,5A. Perennial♾️,6. Herb 🌿,7. Shrub🌴,8. Tree🌳,9. Climber🧗‍♀️,10. Creep-ing🐌,11. Succu-lent🌵,11A. Tropical rainforest habitat☔,11B. Insectivorous🦟,11C. Parasitic 🧛,12. Full Sun ☀️,13. Semi-Shade 🌤️,14. Shade ☁️,15. Hot 🔥,16. Warm 🌡️,17. Cold ❄️,18. Wind Tolerant 💨?,18A. Wind Sensitive🛡️,19. Cold-phobia 😨?,20. Salt Tolerant 🧂,21. Drought tolerant🏜️,22. Moist 💧,23. Requring lots of water 🌧️,23A. Moist-phobia🚫,24. Drought-sensitive🥀,25. Thermo-sensitive 🥵,25A. Barren tolerant🗿,25B. Antipollution 🔄,26. Lightly toxic🟡,27. Toxic🟠,28. Heavily toxic 🔴,Count of cell with logo,,,,
Alangium chinense,Alangiaceae,1,10,,5,8,,🍂,,,,,,,🌳,,,,,,,☀️,,,,🌡️,,,,,,,,,,,,,,,,,4,,,,
Illicium dunnianum,Illiciaceae,1,10,,3-5,7-10,,,,,,,,🌴,,,,,,,,🌤️,,,,🌡️,,,,,,,💧,🌧️,,,,,,,🟠,,6,,,,
Brassica alboglabra,Cruciferae,1,11,,10-3,,,,,,,,🌿,,,,,,,,,☀️,,,,,❄️,,,,,,💧,,,,,,,,,,4,,,,
Brassica campestris var. utilis Tsenet Lee,Cruciferae,1,11,,10-3,,,,,,,,🌿,,,,,,,,,☀️,,,,,❄️,,,,,,💧,,,,,,,,,,4,,,,
Brassica parachinensis = Brassica campestris var. utilis Tsenet Lee,Cruciferae,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Brassica chinensis,Cruciferae,1,12,,10-3,,,,,,,,🌿,,,,,,,,,☀️,,,,,❄️,,,,,,💧,,,,,,,,,,4,,,,
Brassica oleracea var. acephala,Cruciferae,1,12,,2-4,,,,,,,,🌿,,,,,,,,,☀️,,,,🌡️,❄️,,,,🧂,,💧,,,,,,,,,,6,,,,
Brassica oleracea var. italica,Cruciferae,1,13,,2-4,,,,,,,,🌿,,,,,,,,,☀️,🌤️,,,,❄️,,,,,,💧,,,,,,,,,,5,,,,
Brassica pekinensis,Cruciferae,1,13,,12-4,4-6,,,,,,,🌿,,,,,,,,,☀️,,,,,❄️,,,,,🏜️,💧,,,,,,,,,,5,,,,
Eruca vesicaria var. sativa,Cruciferae,1,14,,2-4,,,,,,,,🌿,,,,,,,,,☀️,🌤️,,,,❄️,,,,,🏜️,💧,,,,🥵,,,,,,7,,,,
